DrawDate,Round,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Guaranteed Millionaire Maker,Ball Set,Machine,DrawNumber
13-Jun-2026,1,12,15,31,32,48,58,44,,L5,Lotto4,3180
13-Jun-2026,2,15,17,37,54,55,56,6,,L6,Lotto5,3180
10-Jun-2026,1,1,12,25,29,40,41,16,,L5,Lotto4,3179
10-Jun-2026,2,2,5,12,42,47,54,51,,L6,Lotto5,3179
06-Jun-2026,1,8,10,26,30,35,42,50,,L7,Lotto1,3178
03-Jun-2026,1,7,10,20,55,57,59,44,,L7,Lotto1,3177
30-May-2026,1,4,17,18,20,23,56,33,,L3,Lotto4,3176
27-May-2026,1,33,36,38,46,47,50,35,,L3,Lotto4,3175
23-May-2026,1,4,5,6,7,11,33,35,,L2,Lotto4,3174
20-May-2026,1,9,20,24,51,52,59,31,,L2,Lotto4,3173
16-May-2026,1,4,21,23,27,36,57,20,,L1,Lotto6,3172
13-May-2026,1,9,12,15,16,37,39,14,,L1,Lotto6,3171
09-May-2026,1,3,11,13,14,43,49,5,,L4,Lotto 6,3170
06-May-2026,1,7,31,33,37,39,56,20,,L4,Lotto6,3169
02-May-2026,1,3,4,6,12,29,40,19,,L3,Lotto6,3168
29-Apr-2026,1,4,14,22,32,38,52,27,,L3,Lotto5,3167
25-Apr-2026,1,3,10,14,19,32,53,23,,L2,Lotto4,3166
22-Apr-2026,1,6,12,18,29,49,56,7,,L2,Lotto4,3165
18-Apr-2026,1,1,4,12,15,39,47,48,,L1,Lotto4,3164
15-Apr-2026,1,22,45,49,53,54,56,25,,L1,Lotto4,3163
11-Apr-2026,1,7,10,14,15,17,35,31,,L6,Lotto5,3162
08-Apr-2026,1,27,29,34,36,43,59,37,,L6,Lotto5,3161
04-Apr-2026,1,15,16,23,32,42,46,52,,L5,Lotto5,3160
01-Apr-2026,1,7,16,23,27,35,40,48,,L5,Lotto5,3159
28-Mar-2026,1,9,24,35,40,47,52,18,,L6,Lotto4,3158
25-Mar-2026,1,19,22,31,32,34,40,43,,L6,Lotto4,3157
21-Mar-2026,1,5,10,18,28,34,53,46,,L5,Lotto4,3156
18-Mar-2026,1,14,16,18,22,47,56,54,,L5,Lotto4,3155
14-Mar-2026,1,10,30,36,44,45,58,59,,L9,Lotto5,3154
11-Mar-2026,1,2,3,18,25,40,54,14,,L9,Lotto5,3153
07-Mar-2026,1,9,37,39,40,47,51,19,,L6,Lotto5,3152
04-Mar-2026,1,20,33,43,46,50,56,45,,L6,Lotto5,3151
28-Feb-2026,1,12,15,22,28,31,32,23,,L5,Lotto4,3150
25-Feb-2026,1,31,34,36,41,54,57,27,,L5,Lotto4,3149
21-Feb-2026,1,2,14,24,33,37,40,19,,L10,Lotto4,3148
